"Date","sum(GF)"
2000-01-01,77
2000-02-01,95
2000-03-01,112
2000-04-01,163
2000-05-01,68
2000-06-01,0
2000-07-01,0
2000-08-01,87
2000-09-01,130
2000-10-01,84
2000-11-01,102
2000-12-01,148
2001-01-01,92
2001-02-01,62
2001-03-01,70
2001-04-01,133
2001-05-01,84
2001-06-01,0
2001-07-01,0
2001-08-01,63
2001-09-01,117
2001-10-01,100
2001-11-01,69
2001-12-01,171
2002-01-01,109
2002-02-01,69
2002-03-01,150
2002-04-01,113
2002-05-01,40
2002-06-01,0
2002-07-01,0
2002-08-01,85
2002-09-01,110
2002-10-01,76
2002-11-01,114
2002-12-01,133
2003-01-01,108
2003-02-01,89
2003-03-01,75
2003-04-01,146
2003-05-01,64
2003-06-01,0
2003-07-01,0
2003-08-01,103
2003-09-01,87
2003-10-01,71
2003-11-01,92
2003-12-01,131
2004-01-01,102
2004-02-01,125
2004-03-01,85
2004-04-01,129
2004-05-01,87
2004-06-01,0
2004-07-01,0
2004-08-01,114
2004-09-01,57
2004-10-01,101
2004-11-01,118
2004-12-01,129
2005-01-01,101
2005-02-01,98
2005-03-01,45
2005-04-01,131
2005-05-01,81
2005-06-01,0
2005-07-01,0
2005-08-01,75
2005-09-01,56
2005-10-01,109
2005-11-01,75
2005-12-01,157
2006-01-01,79
2006-02-01,100
2006-03-01,122
2006-04-01,128
2006-05-01,43
2006-06-01,0
2006-07-01,0
2006-08-01,71
2006-09-01,69
2006-10-01,79
2006-11-01,90
2006-12-01,178
2007-01-01,116
2007-02-01,73
2007-03-01,65
2007-04-01,138
2007-05-01,52
2007-06-01,0
2007-07-01,0
2007-08-01,89
2007-09-01,99
2007-10-01,97
2007-11-01,84
2007-12-01,180
2008-01-01,82
2008-02-01,70
2008-03-01,134
2008-04-01,111
2008-05-01,56
2008-06-01,0
2008-07-01,0
2008-08-01,79
2008-09-01,85
2008-10-01,103
2008-11-01,120
2008-12-01,125
2009-01-01,84
2009-02-01,53
2009-03-01,84
2009-04-01,113
2009-05-01,96
2009-06-01,0
2009-07-01,0
2009-08-01,89
2009-09-01,107
2009-10-01,120
2009-11-01,107
2009-12-01,149
2010-01-01,83
2010-02-01,100
2010-03-01,131
2010-04-01,106
2010-05-01,61
2010-06-01,0
2010-07-01,0
2010-08-01,86
2010-09-01,81
2010-10-01,89
2010-11-01,157
2010-12-01,96
2011-01-01,120
2011-02-01,128
2011-03-01,64
2011-04-01,134
2011-05-01,108
2011-06-01,0
2011-07-01,0
2011-08-01,72
2011-09-01,87
2011-10-01,136
2011-11-01,86
2011-12-01,152
2012-01-01,102
2012-02-01,105
2012-03-01,120
2012-04-01,138
2012-05-01,68
2012-06-01,0
2012-07-01,0
2012-08-01,57
2012-09-01,111
2012-10-01,95
2012-11-01,121
2012-12-01,183
2013-01-01,117
2013-02-01,87
2013-03-01,91
2013-04-01,105
2013-05-01,96
2013-06-01,0
2013-07-01,0
2013-08-01,54
2013-09-01,82
2013-10-01,83
2013-11-01,97
2013-12-01,193
2014-01-01,112
2014-02-01,97
2014-03-01,151
2014-04-01,117
2014-05-01,66
2014-06-01,0
2014-07-01,0
2014-08-01,81
2014-09-01,88
2014-10-01,90
2014-11-01,87
2014-12-01,146
2015-01-01,99
2015-02-01,91
2015-03-01,83
2015-04-01,104
2015-05-01,106
2015-06-01,0
2015-07-01,0
2015-08-01,99
2015-09-01,88
2015-10-01,105
2015-11-01,90
2015-12-01,112
2016-01-01,114
2016-02-01,96
2016-03-01,87
2016-04-01,139
2016-05-01,96
2016-06-01,0
2016-07-01,0
2016-08-01,72
2016-09-01,106
2016-10-01,92
2016-11-01,91
2016-12-01,174
2017-01-01,108
2017-02-01,83
2017-03-01,78
2017-04-01,146
2017-05-01,114
2017-06-01,0
2017-07-01,0
2017-08-01,73
2017-09-01,95
2017-10-01,91
2017-11-01,110
2017-12-01,186
2018-01-01,111
2018-02-01,88
2018-03-01,91
2018-04-01,111
2018-05-01,62
2018-06-01,0
2018-07-01,0
2018-08-01,89
2018-09-01,107
2018-10-01,81
2018-11-01,83
2018-12-01,209
2019-01-01,113
2019-02-01,109
2019-03-01,95
2019-04-01,125
2019-05-01,61
2019-06-01,0
2019-07-01,0
2019-08-01,104
2019-09-01,101
2019-10-01,81
2019-11-01,105
2019-12-01,168
2020-01-01,107
2020-02-01,92
2020-03-01,26
2020-04-01,0
2020-05-01,0
2020-06-01,56
2020-07-01,194
2020-08-01,0
2020-09-01,103
2020-10-01,97
2020-11-01,90
2020-12-01,144
